Location,Z_bottom,H_min,H_max,Z_top,Length,Width
LH1,6.4,N/A,N/A,N/A,N/A,N/A
LH2,-1.99,N/A,N/A,N/A,N/A,N/A
LH3,-10.35,N/A,N/A,N/A,N/A,N/A
LH4,-18.69,N/A,N/A,N/A,N/A,N/A
LC,-18.69,-0.39,9.38,10.88,430,55
MC,-10.35,7.95,18.28,19.78,430,55
UC,-1.99,16.31,27.13,28.7,430,55
LB_Bot,-1.07,1.43,3.99,4.79,435,65
LB_Int,0.69,3.19,5.73,6.53,435,65
LB_Top,2.4,4.9,7.5,8.3,435,65
MB_Bot,7.42,9.92,12.83,13.63,435,65
MB_Int,9.08,11.58,14.63,15.43,435,65
MB_Top,10.73,13.23,16.42,17.22,435,65
UB_Bot,15.66,18.16,21.8,22.6,435,65
UB_Int,17.31,19.81,23.57,24.37,435,65
UB_Top,18.94,21.44,25.35,26.15,435,65
